"station","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"3RV",1994,1.73,4.86,0.97,2.4,0.79,0,0,0,0.47,1.19,3.37,2.46,18.24
"3RV",1995,9.25,1.74,11.63,2.37,4.45,0.95,0,0,0,0,0.02,3.19,33.6
"3RV",1996,6.05,6.88,3.23,2.21,0.75,0,0,0,0,1.29,7.07,8.98,36.46
"3RV",1997,12.11,0.6,0.77,0.04,0,0,0.12,0,0.65,0.82,2.51,3.08,20.7
"3RV",1998,6.94,10.24,5.9,5.74,3.17,2.29,0,0,0.12,0.61,1.39,1.86,38.26
"3RV",1999,5.64,3.58,1.36,2.02,0.19,0,0,0,0.12,0,1.66,0.01,14.58
"3RV",2000,5.61,9.89,2.89,1.99,0.78,0.49,0,0,0.18,3.55,0.55,0.42,26.35
"3RV",2001,4.12,4.26,0.67,4.78,0,0,0.12,0,0,0.66,4.22,6.42,25.25
"3RV",2002,2.12,0.77,3.08,0.57,0.63,0,0,0,0,0.02,5.17,4.43,16.79
"3RV",2003,0.16,2.83,1.69,4.86,1.98,0,0.12,0.11,0.1,0,1.2,4.93,17.98
"3RV",2004,1.7,3.84,0.96,0.17,0.01,0,0,0,0,2.45,2.07,4.32,15.52
"3RV",2005,3.25,2.21,4.74,1.4,3.64,0,0,0.03,0.21,0.36,0.21,5.6,21.65
"3RV",2006,6.69,1.63,7.27,6,0.72,0,0.08,0,0,0.21,0.32,3.44,26.36
"3RV",2007,0.92,4.91,1.53,1.35,0.06,0,0,0.03,0.85,1.29,0.48,4.88,16.3
"3RV",2008,5.7,5.24,0.46,0,1.49,0,0,0,0,0.18,2.42,2.99,18.48
"3RV",2009,0.65,4.28,1.35,1.07,0.62,1.05,0,0.03,0,3.01,0.33,4.75,17.14
"3RV",2010,4.8,6.34,2.75,5.28,0.21,0,0.02,0,0,1.01,4.07,12.27,36.75
"3RV",2011,2.01,3.11,6.64,0.84,1.39,0.86,0.15,0,0,0.33,1.44,0,16.77
"3RV",2012,3.64,0.53,4.52,5.35,0.07,0,0,0,0,0.63,1.21,5.77,21.72
"3RV",2013,1.85,1.18,1.1,0.25,0.27,0,0.17,0.06,0.02,0.32,0.47,0.52,6.21
"3RV",2014,0.5,2.82,1.49,2.48,0.47,0,0,0,0.88,NA,NA,NA,8.64
"ABR",1990,4.98,4.26,1.55,1.11,2.87,0,0,0,0.02,0.1,0.67,1.72,17.28
"ABR",1991,1.17,1.14,13.78,0.63,0.24,0.21,0,0,0.04,3.36,1.22,2.67,24.46
"ABR",1992,1.91,7.09,4.21,0.28,0.08,0.02,1.38,0,0,3.63,0,6.74,25.34
"ABR",1993,10.96,6.8,3.8,0.55,0.51,1.4,0,0,0,0.83,2.03,2.42,29.3
"ABR",1994,2.11,5.36,0.93,2.05,0.92,0,0,0,0.5,1.7,4.5,3.19,21.26
"ABR",1995,13.35,1.68,14.22,3.8,3.01,0.52,0.09,0,0.01,0,0.06,5.84,42.58
"ABR",1996,5.97,6.25,4.06,2.6,1.54,0.04,0.01,0,0,2.85,7.04,10.85,41.21
"ABR",1997,13.19,0.19,0.42,0,0,0.24,0,0,0.16,0.44,3.61,2.9,21.15
"ABR",1998,10.43,10.77,7.31,3.08,3.62,2.53,0,0,0.38,0.28,1.64,1.6,41.64
"ABR",1999,6.17,3.59,1.37,2.72,0.15,0.68,0,0.03,0,0.02,2.26,0.06,17.05
"ABR",2000,8.6,11.78,2.44,3.57,0.68,1.07,0,0,0.82,3.18,0.25,0.23,32.62
"ABR",2001,5.44,5.16,1.99,2.9,0,0,0.17,0,0.02,0.9,3.44,7.1,27.12
"ABR",2002,2.19,1.13,2.33,0.96,0.83,0.1,0,0,0,0,4.32,6.07,17.93
"ABR",2003,0.5,2.7,1.49,3.64,1.84,0,0.02,0.38,0,0.01,1.27,5.38,17.23
"ABR",2004,2.21,5.81,0.96,0.19,0.24,0,0,0,0.32,5.33,1.57,6.14,22.77
"ABR",2005,5.44,5.16,4.86,1.08,4.85,0.06,0,0.03,0.47,0.66,0.42,7.14,30.17
"ABR",2006,6.48,2.37,7.5,10.08,0.96,0,0,0,0,0.55,0,3.65,31.59
"ABR",2007,0.99,4.8,1.52,0.75,0,0,0,0.11,NA,0.43,0.19,3.57,12.36
"ABR",2008,7.37,4.72,0.59,0.03,1.21,0,NA,0,0,0.61,2.73,3.45,20.71
"ABR",2009,3.07,5.59,2.01,1.11,0.77,1.2,0,0.13,0.04,2.33,0.31,4.83,21.39
"ABR",2010,6.44,5.19,2.52,4.45,0.6,0,0,0,0,3.62,3.72,12.57,39.11
"ABR",2011,3.18,4.67,9.23,0.65,1.77,1.63,0.35,0,0.03,1.69,1.37,0,24.57
"ABR",2012,4.64,1.32,4.92,3.73,0,0.07,0,0.02,0,0.68,5,5.76,26.14
"ABR",2013,NA,NA,1,0.38,0.25,0,0.01,NA,NA,0.34,0.54,0.67,3.19
"ADN",1990,1.47,1.06,2.07,0.66,3.13,0.64,0.15,1.01,0.84,1.09,0.82,0.74,13.68
"ADN",1991,0.43,0.48,3.32,1.34,3.53,0.31,0.66,0.01,0,0.58,2.55,0.73,13.94
"ADN",1992,0.21,0.82,1.35,0.52,0.02,0.8,0.2,0.17,0,2.79,0.26,2.91,10.05
"ADN",1993,3.71,1.67,2.48,1.76,1.13,2.54,0,0.87,0.5,2.09,0.59,1.06,18.4
"ADN",1994,0.18,1.12,1.28,1.26,1.89,0.49,0.39,0,0.46,0,2.92,2,11.99
"ADN",1995,3.82,2.07,3.37,3.99,1.37,2.55,0.18,0,0,0.14,0.42,4.73,22.64
"ADN",1996,5.62,3.85,1.4,1.5,3.46,0.28,0.91,0.28,0.15,1.18,1.35,5.25,25.23
"ADN",1997,4.74,0.39,1.13,1,0.72,1.41,0.32,0.09,1.01,1.06,1.98,1.5,15.35
"ADN",1998,4.4,2.35,2.63,1.23,5.36,4.1,1,0,1.89,0.62,4.67,1.13,29.38
"ADN",1999,2.07,3.18,1.04,0.49,0.55,1.22,0.42,0.99,0,1.45,1.21,0.54,13.16
"ADN",2000,3.36,2.07,2.08,1.23,0.95,0.76,0.17,0,0.76,2.2,0.97,0.46,15.01
"ADN",2001,0.44,0.53,0.59,1.13,0.01,0.26,0.09,0,0.91,0.21,2.46,2.37,9
"ADN",2002,1.62,1.22,1.4,1.84,0.46,0.1,0,0,0,0.05,1.69,2.37,10.75
"ADN",2003,1.04,0.78,2.28,3.19,1.69,0.02,0,0.69,0.15,0,1.19,4.38,15.41
"ADN",2004,1.12,2.76,0.5,0.51,2.36,0.66,0,0.11,0.09,2.92,2.18,1.19,14.4
"ADN",2005,0.78,0.93,1.45,1.53,4.91,0.66,0,0,NA,1.16,3.23,6.02,20.67
"ADN",2006,2.41,1.35,2.57,2.75,0.75,0.58,0.12,0.04,0.01,0.59,1.9,1.03,14.1
"ADN",2007,0.27,2.76,0.72,0.78,0.41,0.79,0.32,0.14,NA,1.43,0.98,1.85,10.45
"ADN",2008,2.36,0.89,0.57,0.42,1.55,0.17,0.04,NA,NA,0.5,1.07,1.89,9.46
"ADN",2009,1.16,1.36,1.26,2.15,0.65,NA,0.01,0.27,NA,1,1.48,1.58,10.92
"ADN",2010,1.14,1.7,1.79,1.94,0.92,0.64,0.03,0.38,0.6,2,1.36,4.17,16.67
"ADN",2011,0.18,1.44,2.79,2.23,2.16,0.4,0.01,0,0.07,0.39,0.85,0.18,10.7
"ADN",2012,1.7,0.91,2.06,2.09,1.19,0.56,0,0.01,0,1.14,1.57,3.38,14.61
"ADN",2013,0.73,0.24,0.42,1,2.54,0.54,0,0.38,0.09,0.2,0.2,0.14,6.48
"ADN",2014,0.41,2.65,3.52,1.01,0.3,0.24,0.09,0.28,0.33,NA,NA,NA,8.83
"ALT",1990,0.91,1.08,1.13,0.59,1.61,0.24,0.22,0.79,0.03,0.25,1.33,0.55,8.73
"ALT",1991,0.53,0.41,3.34,1.43,2.45,0.68,0.07,0.41,0,0.83,1.42,0.43,12
"ALT",1992,0.12,0.33,1.3,0.57,0.29,1.63,0.14,0,0.02,1.92,0.65,1.75,8.72
"ALT",1993,2.9,0.91,2.08,1.41,1.89,1.54,0.09,1.18,0.53,1.47,1.13,0.94,16.07
"ALT",1994,0.26,1.28,2.41,0.78,1.72,0.66,0,0,0,0.02,2.85,2.31,12.29
"ALT",1995,2.19,0.53,3.18,3.24,1.75,1.77,0.06,0,0.08,0.35,0.42,3.97,17.54
"ALT",1996,2.89,3.1,0.93,1.04,2.57,0.62,0.22,0.18,0.51,0.66,1.05,3.12,16.89
"ALT",1997,3.2,0.46,0.67,1.12,0.88,1.59,0.75,0.08,1.04,0.39,1.44,0.9,12.52
"ALT",1998,2.84,1.08,1.59,0.59,4.3,1.93,1.29,0,2.21,0.41,3.85,0.8,20.89
"ALT",1999,1.49,2.21,0.53,0.19,0.48,0.85,0.82,1.56,0.02,0.77,0.33,0.51,9.76
"ALT",2000,2.1,0.89,1.4,0.77,1.81,0.08,0.41,0,0.15,1.62,0.71,0.28,10.22
"ALT",2001,0.28,0.54,0.7,1.42,0,0.21,0.31,0.03,0.79,0.27,2.61,1.86,9.02
"ALT",2002,0.79,1.46,0.45,1.25,0.32,0,0.03,0,0.1,0.06,1.25,0.86,6.57
"ALT",2003,0.75,0.96,1.76,1.84,2.03,0.07,0.26,0.76,0.24,0,2.11,3.66,14.44
"ALT",2004,0.96,1.58,0.78,0.9,NA,0.32,0,0.75,NA,3.14,2.06,0.47,10.96
"ALT",2005,1.04,0.76,1.4,1.79,3.21,NA,NA,NA,NA,0.76,NA,NA,8.96
"ALT",2009,0.76,0.95,0.75,1.47,0.29,1.13,0.01,0.34,0,1.03,0.92,0.78,8.43
"ALT",2010,0.88,0.27,1.58,1.17,1.25,0.9,0.02,0.29,0.56,1.95,1.19,2.84,12.9
"ALT",2011,0.43,0.73,1.75,2.69,1.63,1.13,0,0,0.18,0.69,0.72,0.1,10.05
"ALT",2012,0.81,0.97,1.1,1.64,0.89,0.49,0,0.06,0,0.29,1.48,2.68,10.41
"ALT",2013,0.48,0.25,0.32,1.44,1.58,0.36,0,0.72,0.51,0.17,0.29,0.17,6.29
"ANA",1990,2.84,3,0.34,0.49,0.52,0.05,0,0,0,0,0.33,0.12,7.69
"ANA",1991,1.36,3.32,6.45,0,0,0,0.07,0,0.06,0.38,0,1.6,13.24
"ANA",1992,1.63,6.04,5.48,0.14,0,0,0.2,0,0,0.72,0,3.65,17.86
"ANA",1993,11.78,4.12,1.66,0,0,1.31,0,0,0,0.11,0.17,0.88,20.03
"ANA",1994,1.7,6.44,1.1,0.58,0.16,0,0,0,0,0.22,0.91,0.87,11.98
"ANA",1995,13.2,1.36,6.96,1.04,0.52,0.53,0,0,0,0,0,1.47,25.08
"ANA",1996,2.13,4.1,2.85,0.63,0,0,0,0,0,0.98,3.19,5.43,19.31
"ANA",1997,5.2,0.11,0,0,0.01,0,0,0,1.2,0.01,1.7,5.35,13.58
"ANA",1998,2.19,14.07,2.95,0.94,2.48,0.07,0,0,0.05,0.06,1.51,1.17,25.49
"ANA",1999,1.76,0.32,1.02,1.92,0,0.12,0.13,0,0,0,0.08,0.06,5.41
"ANA",2000,0.65,4.65,1.7,0.82,0.03,0,0,0.01,0.06,1.36,0,0,9.28
"ANA",2001,4.5,7.33,0.65,0.2,0.05,0,0,0,0,0,0.63,1.19,14.55
"ANA",2002,0.67,0.23,0.5,0.23,0.01,0,0,0,0,0.1,1.8,2.49,6.03
"ANA",2003,0.11,3.99,3.21,1.82,0.82,0,0.26,0,0,0.02,0.66,0.75,11.64
"ANA",2004,0.39,4.23,0.52,0.56,0,0,0,0,0,6.97,0.49,3.46,16.62
"ANA",2005,6.98,8.41,0.59,1.3,0.26,0,0,0,0.35,0.18,0.3,0.58,18.95
"ANA",2006,0.64,1.68,2.13,2.88,0.7,0.02,0,0,0,0.02,0.11,0.67,8.85
"ANA",2007,0.03,0.98,0.1,0.34,0,0,0,0,0.52,0.4,1.19,1.02,4.58
"ANA",2008,3.76,1.95,0.06,0.02,0.17,0,0,0,0,0,1.79,3.69,11.44
"ANA",2009,0.75,3.27,0.04,0.17,0,0.1,0,0,0,0.62,0,3.39,8.34
"ANA",2010,4.86,4.21,0.26,1.22,0.05,0,0.02,0,0,2.66,1.36,10.1,24.74
"ANA",2011,1.02,1.91,1.81,0,0.45,0.03,0,0,0.06,0.85,1.67,0.63,8.43
"ANA",2012,1.3,0.78,1.51,3.09,0,0,0.12,0,0,0.32,0.54,1.62,9.28
"ANA",2013,0.84,0.32,0.37,0.03,0.54,0,0.06,0,0,0.22,0.46,0.37,3.21
"ANA",2014,0,1.42,0.67,0.37,0,0,0,0.03,0,NA,NA,NA,2.49
"APU",1990,6.71,3.4,1.7,0.4,4.5,0,0,0,0.5,0.67,0.6,0.92,19.4
"APU",1991,0.61,5.18,16.57,0.57,0.39,0.66,0,0.22,0,2.28,1.8,3.21,31.49
"APU",1992,2.31,11.07,6.22,1.7,0,1.39,0,0,0,4.45,0.4,12.09,39.63
"APU",1993,15.59,8.52,3.23,1.72,3.05,1.66,0,0,0,1.33,3.13,5.18,43.41
"APU",1994,2.12,5.98,0.35,1.94,1.82,0.05,0,0,0,1.53,8.91,5,27.7
"APU",1995,28.91,1.17,18.72,3.29,2.8,0.72,0,0,0,0,0.24,11.15,67
"APU",1996,9.81,11.36,3.94,4.37,4.7,0,0,0,0.14,1.55,5.28,24.92,66.07
"APU",1997,15.91,0.59,1.67,0.88,0.77,0.27,0,0.45,0.34,1.95,8.72,2.82,34.37
"APU",1998,13.26,21.45,2.57,5.2,1.25,0,0,0,0.27,1.01,9.27,2.1,56.38
"APU",1999,4.35,11.5,4.35,2.83,0.25,0.4,0,0,0.04,1.38,5.36,0.65,31.11
"APU",2000,7.5,13.67,4.26,2.6,1.99,0.28,0,0,0.49,4.78,1.58,1.32,38.47
"APU",2001,7.1,10.05,3.7,1.9,0,0.32,0,0,0.52,1.44,9.16,15.12,49.31
"APU",2002,5.7,2.48,3.69,0.44,1.4,0,0,0,0,0.03,5.3,22.15,41.19
"APU",2003,4.02,2.56,3.52,6.19,1.16,0,0,0.31,0.03,0.09,6.02,15.56,39.46
"APU",2004,4.17,11.35,2.11,1.2,0,0,0,0,0,5.38,2.99,13.36,40.56
"APU",2005,6.1,4.69,6.93,1.54,6.4,0.98,0,0,NA,0.95,3.33,23.33,54.25
"APU",2006,6.96,6.58,9.44,6.87,1.14,0,0,0,0,0.29,3.21,6.16,40.65
"APU",2007,0.48,9.82,0.39,1.76,0.63,0,0.17,0,0.16,2.42,0.7,4.56,21.09
"APU",2008,14.76,4.47,0.27,0.25,0.24,0,0,0,0,1.39,3.99,4.2,29.57
"APU",2009,0.81,13.18,4.35,0.85,3.18,0,0,0,0.03,5.25,1.68,3.41,32.74
"APU",2010,13.07,6.71,4.11,5.65,2.45,0,0,NA,NA,5.26,3.69,11.31,52.25
"APU",2011,2.34,7.18,13,0.97,2.78,2.66,NA,NA,0.03,2.86,2.74,0.2,34.76
"APU",2012,7.16,0.65,11.47,2.87,0.31,0.07,NA,0,0,1.44,13.07,13.54,50.58
"APU",2013,1.22,0.54,NA,1.1,NA,1.17,0,0,1.04,0,0.94,0.52,6.53
"APU",2014,0.15,13.36,4.97,2.03,0,0,0,0.01,0.81,NA,NA,NA,21.33
"ARR",1990,7.76,7.82,2.45,1.44,1.4,0.05,0,0.25,0.01,0,2.25,0.13,23.56
"ARR",1991,3.1,8.61,20.94,0.06,0,0,0.17,0,0.1,2.9,0.31,5.46,41.65
"ARR",1992,5.85,14.03,15.6,0.23,0.16,0,0.7,0,0,5.82,0,14.59,56.98
"ARR",1993,36.93,25.68,3.65,0,0,4.21,0,0,0,NA,2.42,1.51,74.4
"ARR",1994,0.98,12.51,3.7,1.52,1.13,0,0,0,0,2.8,2.82,3.43,28.89
"ARR",1995,27.79,8.46,19.27,0.55,0.97,1.34,0,0.75,0,0,0.04,1.92,61.09
"ARR",1996,3.33,12.44,6.69,1.54,0.08,0,0.08,0,0,0.1,4.14,7.05,35.45
"ARR",1997,10.86,0.53,0,0,0,0,0.22,0,1.34,0.82,3.87,4.41,22.05
"ARR",1998,6.22,24.35,8.15,5.54,7.19,0,0,0.57,0.47,0.05,2.09,0.96,55.59
"ARR",1999,2.13,1.73,0.37,5.13,0,0.66,0.2,0,0.04,0,0.92,0.01,11.19
"ARR",2000,0.57,11.61,3.56,3.97,0.11,0,0,0.33,0.06,1.26,0.21,0.09,21.77
"ARR",2001,8.06,7.71,1.96,2.5,0.24,0,0.07,0,0,0,1.85,1.37,23.76
"ARR",2002,1.86,0.53,2.4,0.33,0.41,0,0,0,0,0,4.08,2.78,12.39
"ARR",2003,0,10.1,6.25,3.7,1.69,0,0.71,0,0.05,1,2.21,6.77,32.48
"ARR",2004,0.85,8.22,0.32,0.7,0,0,0,0,0,19.23,3.71,8.85,41.88
"ARR",2005,36.46,12.43,2.68,1.86,1.26,0,0,0,0.62,1.61,0.05,1.08,58.05
"ARR",2006,7.35,11.6,7.71,12.57,0.42,0,1.02,0,0,0,0.8,0,41.47
"ARR",2007,1.53,1.6,0.73,1.85,0,0,0,1.56,1.5,0,2.5,7.21,18.48
"ARR",2008,24.04,4.72,0.41,0,2.33,0,NA,0,NA,0,NA,6.35,37.85
"ARR",2009,0.4,NA,0.59,0.1,0,NA,NA,NA,NA,1.87,NA,7.03,9.99
"ASM",1990,3.63,3.14,2.78,0.9,3,0.01,0,0.02,0.18,0.07,1.84,0.66,16.23
"ASM",1991,1.28,0.52,14.54,0.7,0.54,0,0,0,0.04,1.94,0.91,1.79,22.26
"ASM",1992,1.68,5.42,3.65,0.01,0.19,0.19,1.36,0,0,3.95,0,6.01,22.46
"ASM",1993,9.55,6.88,4.72,0.9,0.08,1.72,0,0,0,0.49,2.71,2.37,29.42
"ASM",1994,1.77,5.34,1.65,2.39,0.9,0,0,0,0.67,1.42,4.36,2.66,21.16
"ASM",1995,9.29,1.88,13.16,3.5,5.87,1.42,0.09,0,0,0,0.05,3.52,38.78
"ASM",1996,6.26,8.59,3.08,2.4,0.9,0.22,0,0,0.11,1.23,6.79,9.59,39.17
"ASM",1997,13.51,0.88,0.31,0,0,0.01,0.16,0,0.2,0.73,4.38,3.55,23.73
"ASM",1998,5.89,12.77,6.24,5.46,4.85,4.48,0.27,0,0.4,0.52,1.67,2.12,44.67
"ASM",1999,5.95,3.31,1.48,2.22,0.19,0.13,0.01,0.03,0.14,0,2.02,0.11,15.59
"ASM",2000,5.57,11.34,3.28,2.55,1.24,0.47,0,0.06,0.97,3.69,0.47,0.25,29.89
"ASM",2001,4.84,5.1,1.03,5.19,0,0,0.26,0,0,0.76,4.63,7.91,29.72
"ASM",2002,2.52,0.89,6.14,0.81,1.01,0,0.04,0,0,0.52,5.92,5.59,23.44
"ASM",2003,0.3,3.54,3.12,6.12,2.3,0,0.24,0.21,0.16,0,1.9,8.05,25.94
"ASM",2004,2.41,5.73,1.09,0.39,0,0,0,0,0.2,4.25,1.89,4,19.96
"ASM",2005,8.43,3.38,5.28,2.25,3.86,0,0,0,0.16,0.54,0.12,4.79,28.81
"ASM",2006,9.28,2.24,8.9,7.51,0.78,0,0.03,0,0,0.45,0.46,3.42,33.07
"ASM",2007,1.09,4.67,2.35,2.45,0.26,0,0,0.08,0.84,1.13,0.62,5.22,18.71
"ASM",2008,6.57,6.3,0.54,0,0.93,0,0.13,0,0,0.32,3.46,3.65,21.9
"ASM",2009,3.41,6.44,1.98,1.21,0.78,1.5,0,0.07,0,3.8,0.22,5.72,25.13
"ASM",2010,5.85,5.98,2.92,5.66,0.49,0,0,0,0.03,2.22,6.78,13.63,43.56
"ASM",2011,1.88,4.67,7.78,0.79,1.98,0.97,0,0.33,0.02,2.2,1.69,0,22.31
"ASM",2012,4.39,1.55,2.98,4.97,0.07,0,0,0,0,1.94,1.46,6.92,24.28
"ASM",2013,1.81,1.37,0.98,0.53,0.37,0,0,0,0,0,0.53,0.59,6.18
"ASM",2014,0.7,3.22,3.29,2.81,1.06,0,0.06,0.03,NA,NA,NA,NA,11.17
"ATW",1994,2,7.7,2.2,4.6,2.1,NA,NA,NA,NA,1.8,6.8,0.5,27.7
"ATW",1995,15.9,2,17.9,5.1,6.3,2.3,0,0,0,0,0,6.8,56.3
"ATW",1996,10.9,15.1,4.8,4.1,0.8,0.3,0,1.3,0.7,1.7,13,16.2,68.9
"ATW",1997,20.7,1.5,0.6,0.3,0,0,0.1,0.1,1.1,2.5,5.3,6.1,38.3
"ATW",1998,8.9,14.3,10.5,5,4.2,3.6,0,NA,2,1.2,2.7,2.8,55.2
"ATW",1999,7,3.1,2.6,4.3,0.8,2.2,2,0.3,0,0.6,3,0.3,26.2
"ATW",2000,7.8,14.1,3.4,3,0.5,0.3,0,0,0,5.4,2,0,36.5
"ATW",2001,4.9,6.71,0.91,6.3,0,0,0.8,0.1,0.2,1.5,9.5,10.2,41.12
"ATW",2002,3.7,0.9,6.1,1.1,2.4,0.2,0,0,0,0.1,14,6.3,34.8
"ATW",2003,0.5,5.1,5.6,5.9,4.4,0,0.5,0.6,0.5,0.1,2.7,10.9,36.8
"ATW",2004,3.7,6.11,1.2,0.3,0,0.1,0.1,0,0,4.42,2.35,5.31,23.59
"ATW",2005,10.12,2.62,9.62,2.42,4.31,0.01,0.1,2.52,0.6,0.6,0.61,9.82,43.35
"ATW",2006,7.35,2.9,11.22,8.1,1.32,0.22,2.02,0.11,0,0,1.7,4.44,39.38
"ATW",2007,1.06,7.54,3.32,3.6,0.6,0.1,0,0,0.31,0.9,0.81,6.63,24.87
"ATW",2008,8.83,9.81,1.11,0.31,1.5,0.41,0.31,0,0,0,0.41,6.61,29.3
"ATW",2009,4.72,7.85,2.31,3.01,1.71,1.93,0.11,0,0,0,0.14,6.62,28.4
"ATW",2010,5.82,9.32,4.23,7.14,1.62,0.61,NA,0,0,3.73,5.27,21.32,59.06
"ATW",2011,2.24,4.33,9.94,1.64,4.63,1.12,1.13,0.54,0.73,3.32,2.32,0.01,31.95
"ATW",2012,6.71,2.03,4.93,4.92,1,0.31,0.2,0.5,0.01,0.98,3.7,10.11,35.4
"ATW",2013,3.03,1.21,0.98,1.58,1.74,0.74,0.52,0.44,0.51,0.66,0.71,1.39,13.51
"ATW",2014,1.53,4.5,3.52,3.69,1.57,NA,0.1,0.77,1.26,NA,NA,NA,16.94
"AUB",1990,6.37,5.04,2.07,2.08,5.17,0,0,0,0.03,0.42,1.22,1.75,24.15
"AUB",1991,0.81,3.43,16.77,0.98,1.3,0.68,0,0.28,0.01,3.25,0.8,3.59,31.9
"AUB",1992,3.12,10.51,3.47,1.84,0,0.94,0,0,0,2.4,0.73,10.89,33.9
"AUB",1993,12.17,9.39,5.1,1.56,1.67,1.52,0,0,0,1.21,3.66,4.74,41.02
"AUB",1994,2.48,5.91,0.93,1.75,1.11,0.04,0,0,0.37,0.85,7.54,8,28.98
"AUB",1995,18.42,0.83,16.37,3.97,4.13,1.57,0,0,0,0,0.12,8.18,53.59
"AUB",1996,7.16,9.17,3.14,4.33,4.38,0.15,0,0,0.2,1.85,5.1,16.78,52.26
"AUB",1997,16.27,0.96,1.25,1.49,0.37,0.64,0.02,0.47,0.26,2.92,5.77,4.53,34.95
"AUB",1998,12.35,14.97,3.57,5.2,5.08,0.27,0,0,0.57,0.97,7.52,3.9,54.4
"AUB",1999,7.26,10.57,3.02,1.69,0.64,0.21,0,0.08,0,0.88,3.96,0.87,29.18
"AUB",2000,11.18,15.16,2.77,2.01,2.19,0.59,0,0,0.7,4.21,0.79,0.82,40.42
"AUB",2001,4.46,6.18,2.86,3.4,0,0.14,0,0,0.45,0.65,4.97,9.46,32.57
"AUB",2002,5.75,3.65,6.39,0.71,2.42,0,0,0,0,0,2.79,11.75,33.46
"AUB",2003,2.23,2.51,3.89,7.09,1.46,0,0,0.47,0,0,3.16,7.72,28.53
"AUB",2004,3.53,7.24,1.17,0.87,0.13,0,0,0,0,3.88,4.44,7.24,28.5
"AUB",2005,5.14,2.82,7.97,1.4,3.66,1.41,0,0,0.64,0.89,2.51,11.28,37.72
"AUB",2006,6.31,4.35,9.16,9.92,1.04,0,0,0,NA,0,1.89,4.41,37.08
"AUB",2007,0.1,9.4,0.02,2.71,0.72,0.05,0,0,0.22,1.25,NA,4.46,18.93
"AUB",2008,6.91,3.98,0.92,0.32,0.06,0,0,0,0,0.88,2.63,3.06,18.76
"AUB",2009,3.21,6.38,3.81,1.49,3.61,0.45,0,0,0.2,2.25,0.57,4.22,26.19
"AUB",2010,7.63,4.17,3.29,5.11,2.26,0.06,0,0,0,3.19,4.8,10.69,41.2
